nome_area,totale,categoria_over80
Provincia Autonoma Trento,1653,1267
Valle d'Aosta / Vallée d'Aoste,325,5
Provincia Autonoma Bolzano / Bozen,817,579
Provincia Autonoma Trento,421,0
Sardegna,7219,4136
Friuli-Venezia Giulia,3211,1501
Friuli-Venezia Giulia,3254,1589
Liguria,2128,0
Campania,24284,7003
Liguria,3329,2167
Veneto,7353,5348
Liguria,6060,4265
Abruzzo,1221,1210
Piemonte,19144,13831
Umbria,1291,0
Emilia-Romagna,2153,0
Valle d'Aosta / Vallée d'Aoste,33,0
Provincia Autonoma Trento,22,0
Piemonte,6881,0
Veneto,8278,4381
Lombardia,5330,4
Umbria,3539,2018
Sardegna,1897,1
Basilicata,328,0
Sicilia,3618,0
Basilicata,2284,1950
Provincia Autonoma Bolzano / Bozen,2360,1734
Liguria,3439,2585
Sardegna,5751,2567
Calabria,2394,0
Marche,4512,4047
Friuli-Venezia Giulia,1231,0
Basilicata,666,0
Campania,5722,0
Marche,896,0
Valle d'Aosta / Vallée d'Aoste,275,138
Calabria,165,0
Provincia Autonoma Bolzano / Bozen,569,469
Provincia Autonoma Trento,530,0
Valle d'Aosta / Vallée d'Aoste,236,51
Calabria,44,0
Emilia-Romagna,8088,0
Umbria,1093,934
Piemonte,1,0
Valle d'Aosta / Vallée d'Aoste,739,227
Veneto,7058,17
Molise,144,0
Veneto,5231,168
Sardegna,8492,3843
Campania,5826,0
Provincia Autonoma Trento,1390,1072
Puglia,784,0
Veneto,4453,983
Sardegna,90,0
Lombardia,16018,42
Liguria,1140,532
Friuli-Venezia Giulia,2731,0
Basilicata,77,0
Piemonte,5978,0
Valle d'Aosta / Vallée d'Aoste,353,1
Veneto,11330,3285
Friuli-Venezia Giulia,5711,1978
Calabria,6,0
Campania,12899,6279
Piemonte,7982,0
Sardegna,1970,0
Campania,8902,1
Puglia,9582,6413
Provincia Autonoma Trento,870,1
Calabria,8340,2913
Emilia-Romagna,4244,345
Lombardia,24951,309
Liguria,2460,0
Veneto,34124,5212
Lazio,17993,7916
Provincia Autonoma Trento,1639,1376
Friuli-Venezia Giulia,709,0
Umbria,4235,2220
Sicilia,7325,0
Sardegna,2041,1202
Veneto,7006,5400
Marche,487,0
Lombardia,25323,259
Sardegna,958,0
Liguria,3760,2585
Puglia,14316,5222
Umbria,4482,1559
Sicilia,14592,5139
Provincia Autonoma Trento,155,0
Emilia-Romagna,10243,4535
Calabria,860,0
Veneto,4970,12
Abruzzo,1253,0
Umbria,4210,846
Molise,1996,480
Lombardia,42758,19722
Calabria,400,0
Valle d'Aosta / Vallée d'Aoste,18,0
Abruzzo,6422,3378
Abruzzo,2523,461
Marche,2516,1536
Basilicata,707,0
Provincia Autonoma Bolzano / Bozen,1754,958
Toscana,3049,1
Valle d'Aosta / Vallée d'Aoste,390,0
Lombardia,39950,20097
Calabria,6999,2157
Toscana,25929,23630
Marche,6288,2378
Provincia Autonoma Bolzano / Bozen,730,7
Provincia Autonoma Trento,290,0
Lombardia,42021,20886
Provincia Autonoma Trento,502,0
Toscana,5104,2
Calabria,2463,0
Piemonte,11137,6388
Abruzzo,5059,2741
Piemonte,11961,7333
Piemonte,9761,0
Lazio,21861,8904
Calabria,1137,66
Basilicata,969,0
Provincia Autonoma Bolzano / Bozen,526,5
Lombardia,1199,1
Valle d'Aosta / Vallée d'Aoste,181,116
Veneto,4606,0
Valle d'Aosta / Vallée d'Aoste,290,2
Marche,383,0
Sicilia,1295,0
Marche,738,0
Lombardia,11697,4310
Calabria,1230,0
Provincia Autonoma Trento,2527,1446
Toscana,4519,0
Veneto,12796,4835
Calabria,7953,3798
Liguria,80,0
Puglia,5628,0
Umbria,1221,0
Marche,1574,0
Lazio,7595,90
Campania,14649,5562
Piemonte,19280,13391
Abruzzo,530,0
Umbria,3505,1707
Marche,2016,0
Lazio,6658,3627
Lazio,10224,4577
Lombardia,26104,189
Piemonte,8463,3889
Sicilia,235,0
Calabria,2232,0
Puglia,9288,6741
Calabria,5608,1921
Toscana,9208,20
Provincia Autonoma Bolzano / Bozen,951,27
Valle d'Aosta / Vallée d'Aoste,151,53
Toscana,2806,0
Sicilia,12942,3888
Lazio,3554,0
Sicilia,16811,5543
Lazio,27576,9574
Toscana,2370,2
Liguria,755,0
Sardegna,591,0
Molise,1376,409
Puglia,14103,5111
Friuli-Venezia Giulia,816,0
Molise,598,0
Emilia-Romagna,1321,0
Friuli-Venezia Giulia,2537,143
Liguria,9477,3673
Marche,1064,0
Piemonte,16982,11932
Friuli-Venezia Giulia,7005,1933
Basilicata,882,328
Calabria,2763,0
Toscana,3271,0
Veneto,1527,0
Liguria,1079,254
Marche,125,0
Provincia Autonoma Trento,2847,1544
Sardegna,2749,1758
Calabria,2028,0
Provincia Autonoma Bolzano / Bozen,1703,40
Marche,3727,2790
Piemonte,4254,0
Provincia Autonoma Trento,2279,1570
Basilicata,463,0
Sardegna,5492,2485
Lazio,9676,4956
Abruzzo,5685,3781
Emilia-Romagna,7465,6730
Umbria,838,0
Sicilia,13506,3840
Molise,1156,854
Friuli-Venezia Giulia,2271,0
Provincia Autonoma Bolzano / Bozen,318,1
Sicilia,14993,5008
Lazio,9698,5060
Friuli-Venezia Giulia,2646,1
Liguria,3758,2525
Provincia Autonoma Bolzano / Bozen,1365,0
Basilicata,1237,76
Valle d'Aosta / Vallée d'Aoste,220,0
Emilia-Romagna,10292,0
Molise,336,0
Valle d'Aosta / Vallée d'Aoste,255,134
Toscana,4251,5
Molise,1219,618
Puglia,4551,0
Toscana,20108,10886
Valle d'Aosta / Vallée d'Aoste,65,0
Marche,6758,3133
Provincia Autonoma Bolzano / Bozen,1194,922
Piemonte,13021,8544
Liguria,2315,1855
Calabria,6656,3765
Toscana,21447,5020
Marche,3374,2848
Provincia Autonoma Trento,907,164
Friuli-Venezia Giulia,2941,0
Marche,2181,0
Friuli-Venezia Giulia,2651,0
Calabria,1109,0
Puglia,12831,7801
Liguria,2623,1115
Liguria,3302,1537
Liguria,2717,0
Marche,3274,2794
Lombardia,12313,8
Marche,7369,4538
Liguria,1913,430
Provincia Autonoma Bolzano / Bozen,84,0
Umbria,115,1
Provincia Autonoma Trento,728,0
Sicilia,7838,0
Abruzzo,4253,1468
Sicilia,5250,0
Sicilia,15202,4502
Piemonte,3517,0
Lombardia,41693,23983
Liguria,5756,3627
Lombardia,7692,7
Friuli-Venezia Giulia,2467,0
Veneto,7140,0
Calabria,2689,971
Valle d'Aosta / Vallée d'Aoste,868,191
Lombardia,11658,4029
Sardegna,1482,0
Campania,21235,7098
Sardegna,210,0
Piemonte,17022,8963
Sardegna,6076,2294
Lazio,5536,3446
Veneto,7328,0
Piemonte,6329,0
Campania,12744,3500
Veneto,1038,0
Friuli-Venezia Giulia,3491,1565
Toscana,3001,0
Lombardia,9116,54
Valle d'Aosta / Vallée d'Aoste,529,148
Abruzzo,1625,446
Abruzzo,5303,3327
Campania,11585,10005
Liguria,3919,2056
Umbria,814,0
Provincia Autonoma Trento,594,0
Valle d'Aosta / Vallée d'Aoste,302,0
Umbria,1056,0
Liguria,11239,4196
Sardegna,1327,0
Marche,1988,0
Toscana,1331,0
Sicilia,5204,0
Basilicata,1872,842
Lombardia,34910,26109
Sicilia,15212,3928
Sicilia,15947,4002
Calabria,1682,299
Abruzzo,2644,1094
Provincia Autonoma Bolzano / Bozen,1831,426
Veneto,6403,152
Lazio,5232,84
Valle d'Aosta / Vallée d'Aoste,176,118
Provincia Autonoma Trento,1110,708
Friuli-Venezia Giulia,3712,2315
Emilia-Romagna,9269,85
Provincia Autonoma Bolzano / Bozen,1200,720
Campania,12122,3065
Campania,7943,1
Umbria,3936,3065
Piemonte,12506,9096
Umbria,613,0
Provincia Autonoma Trento,2378,1000
Emilia-Romagna,5591,0
Lombardia,15342,152
Liguria,7245,2433
Provincia Autonoma Trento,2308,1428
Liguria,4073,3080
Emilia-Romagna,17977,9836
Piemonte,8197,5809
Calabria,8819,4820
Basilicata,1160,802
Liguria,3498,2744
Molise,450,0
Friuli-Venezia Giulia,3732,2447
Valle d'Aosta / Vallée d'Aoste,569,20
Piemonte,10196,0
Valle d'Aosta / Vallée d'Aoste,231,127
Basilicata,437,338
Provincia Autonoma Bolzano / Bozen,2,0
Puglia,506,0
Liguria,11677,4287
Abruzzo,6022,1700
Molise,2320,1855
Liguria,8761,4209
Piemonte,10804,6813
Liguria,1858,508
Abruzzo,1542,0
Campania,15334,4730
Provincia Autonoma Trento,972,324
Veneto,23648,10037
Liguria,8773,3919
Sardegna,32,0
Sardegna,1524,0
Umbria,2633,464
Campania,17618,6718
Friuli-Venezia Giulia,4220,1538
Campania,4128,0
Emilia-Romagna,2347,0
Puglia,1308,0
Campania,19994,7448
Veneto,13709,7876
Toscana,5944,0
Sicilia,7216,0
Valle d'Aosta / Vallée d'Aoste,204,36
Lombardia,14775,5264
Veneto,1932,3
Friuli-Venezia Giulia,2518,1835
Emilia-Romagna,968,0
Lombardia,14386,71
Basilicata,1346,1306
Sardegna,747,0
Basilicata,802,740
Provincia Autonoma Bolzano / Bozen,2115,299
Sicilia,173,0
Umbria,54,0
Valle d'Aosta / Vallée d'Aoste,215,0
Valle d'Aosta / Vallée d'Aoste,256,57
Puglia,13391,8297
Molise,18,0
Piemonte,6914,0
Toscana,16401,5208
Provincia Autonoma Bolzano / Bozen,1552,215
Provincia Autonoma Trento,802,247
Sicilia,12247,3891
Molise,1462,698
Liguria,135,0
Provincia Autonoma Trento,2280,970
Marche,6623,2800
Molise,319,0
Calabria,3636,2094
Friuli-Venezia Giulia,1935,3
Molise,156,0
Campania,22706,5149
Molise,72,0
Abruzzo,6683,3305
Provincia Autonoma Trento,103,0
Liguria,5617,3567
Sardegna,4236,2448
Marche,3414,2596
Umbria,267,0
Friuli-Venezia Giulia,3641,1330
Molise,66,0
Provincia Autonoma Bolzano / Bozen,2336,61
Marche,3577,2928
Campania,12745,3232
Emilia-Romagna,22610,10894
Sardegna,65,0
Calabria,926,0
Friuli-Venezia Giulia,262,0
Umbria,671,1
Lombardia,21261,7505
Emilia-Romagna,2032,0
Campania,3838,0
Emilia-Romagna,3126,0
Abruzzo,927,0
Sicilia,4338,0
Umbria,276,0
Lombardia,31859,18031
Marche,3824,2008
Provincia Autonoma Bolzano / Bozen,684,0
Friuli-Venezia Giulia,1154,0
Umbria,3666,2855
Basilicata,151,18
Puglia,4263,1
Veneto,880,0
Lazio,6704,0
Lazio,20820,8964
Puglia,10352,6049
Basilicata,1622,962
Basilicata,1884,1150
Veneto,21444,8455
Marche,5183,3007
Emilia-Romagna,2730,0
Puglia,12718,7806
Toscana,6282,1
Provincia Autonoma Bolzano / Bozen,617,257
Lombardia,7051,0
Molise,666,274
Piemonte,7445,0
Provincia Autonoma Bolzano / Bozen,2040,247
Basilicata,284,254
Basilicata,1787,1705
Molise,330,0
Provincia Autonoma Bolzano / Bozen,830,0
Valle d'Aosta / Vallée d'Aoste,48,0
Lazio,22674,9425
Sardegna,1116,0
Veneto,27384,5531
Toscana,5243,0
Valle d'Aosta / Vallée d'Aoste,139,0
Lazio,6883,125
Valle d'Aosta / Vallée d'Aoste,263,131
Puglia,5897,0
Lombardia,10516,11
Molise,557,0
Abruzzo,3086,1508
Lombardia,26803,9885
Provincia Autonoma Trento,251,0
Provincia Autonoma Bolzano / Bozen,144,1
Friuli-Venezia Giulia,3345,2381
Toscana,3581,0
Veneto,8624,5589
Puglia,4514,0
Emilia-Romagna,9321,0
Sicilia,4371,0
Lazio,17321,6665
Valle d'Aosta / Vallée d'Aoste,351,1
Campania,5509,3616
Calabria,3079,1147
Lazio,5391,0
Veneto,31270,10250
Friuli-Venezia Giulia,2352,1555
Basilicata,1790,1577
Sicilia,15396,5722
Sicilia,8039,4066
Lazio,5353,470
Piemonte,5086,3352
Toscana,4095,0
Toscana,4622,0
Valle d'Aosta / Vallée d'Aoste,147,0
Abruzzo,948,0
Sardegna,904,0
Basilicata,557,0
Friuli-Venezia Giulia,2516,1760
Emilia-Romagna,17165,8810
Lombardia,7020,14
Lombardia,13663,102
Calabria,371,0
Lombardia,8028,1
Umbria,1577,1
Sicilia,16487,5351
Umbria,3859,3251
Provincia Autonoma Bolzano / Bozen,758,557
Abruzzo,4782,1417
Friuli-Venezia Giulia,3137,2202
Valle d'Aosta / Vallée d'Aoste,403,0
Calabria,8237,3179
Puglia,4367,5
Emilia-Romagna,13623,10863
Friuli-Venezia Giulia,1848,0
Sardegna,7200,2651
Liguria,1743,0
Lombardia,33069,12055
Liguria,4721,2921
Provincia Autonoma Bolzano / Bozen,498,0
Emilia-Romagna,10208,0
Provincia Autonoma Trento,318,0
Umbria,254,0
Lombardia,15236,73
Provincia Autonoma Trento,1205,782
Emilia-Romagna,8196,7357
Abruzzo,1139,0
Puglia,9109,4930
Lazio,6245,155
Veneto,4312,6
Liguria,5804,3457
Veneto,6466,1
Valle d'Aosta / Vallée d'Aoste,550,181
Valle d'Aosta / Vallée d'Aoste,275,0
Molise,758,0
Piemonte,5207,0
Sicilia,6471,0
Marche,6366,3102
Molise,570,38
Veneto,13167,3085
Liguria,1658,577
Molise,667,136
Lazio,5247,125
Lombardia,6404,17
Provincia Autonoma Trento,2187,997
Molise,1172,95
Sicilia,8328,0
Friuli-Venezia Giulia,5225,2056
Basilicata,1797,1103
Veneto,7237,247
Veneto,5863,9
Sardegna,90,0
Molise,2131,799
Basilicata,2680,1780
Provincia Autonoma Trento,754,8
Sardegna,3862,1
Friuli-Venezia Giulia,2454,1034
Marche,1991,0
Lazio,5772,3
Molise,252,2
Campania,3985,0
Umbria,85,0
Provincia Autonoma Trento,242,0
Umbria,4067,3505
Marche,2006,0
Provincia Autonoma Trento,1119,47
Campania,3673,0
Abruzzo,1895,1488
Umbria,3793,2852
Campania,1257,0
Emilia-Romagna,15825,9184
Sardegna,126,0
Campania,13839,4495
Marche,4716,1904
Calabria,2109,0
Piemonte,10040,0
Provincia Autonoma Bolzano / Bozen,12,0
Piemonte,10368,6846
Campania,11639,2882
Lazio,6799,4518
Sicilia,12979,4303
Lazio,27467,8549
Calabria,1805,0
Liguria,233,60
Sicilia,10999,4445
Provincia Autonoma Trento,745,501
Friuli-Venezia Giulia,2518,0
Valle d'Aosta / Vallée d'Aoste,481,343
Piemonte,15073,10357
